time,gFx,gFy,gFz,gFTotal
270.5599479675293,-3.0225982666015625,-0.864532470703125,0.669097900390625,3.214
270.5711269378662,-2.6544952392578125,-0.6155853271484375,0.683135986328125,2.809
270.5815589427948,-2.4270477294921875,-0.4190216064453125,0.66973876953125,2.552
270.5930359363556,-2.3096771240234375,-0.266754150390625,0.693939208984375,2.426
270.6013059616089,-2.18951416015625,-0.1074676513671875,0.6684417724609375,2.292
270.6095690727234,-1.9433746337890625,0.0329132080078125,0.5522308349609375,2.021
270.61986780166626,-1.794036865234375,0.0666961669921875,0.5116424560546875,1.867
270.62996196746826,-1.6580810546875,0.13104248046875,0.50054931640625,1.737
270.640860080719,-1.5105743408203125,0.218170166015625,0.448760986328125,1.591
270.6496410369873,-1.4079132080078125,0.276031494140625,0.4123687744140625,1.493
270.66011691093445,-1.30078125,0.34490966796875,0.3784942626953125,1.398
270.66985392570496,-1.2089691162109375,0.4025421142578125,0.370025634765625,1.327
270.6812369823456,-1.1275634765625,0.4542694091796875,0.379364013671875,1.273
270.69345688819885,-1.004547119140625,0.5052337646484375,0.3707733154296875,1.184
270.70053911209106,-0.8770294189453125,0.5550079345703125,0.344390869140625,1.094
270.70930099487305,-0.754302978515625,0.5915985107421875,0.3239898681640625,1.012
270.71928095817566,-0.6442718505859375,0.6094970703125,0.3036651611328125,0.937
270.72958493232727,-0.524200439453125,0.6270904541015625,0.272216796875,0.861
270.7415418624878,-0.4111328125,0.6779022216796875,0.2169952392578125,0.822
270.74961376190186,-0.33538818359375,0.736968994140625,0.16796875,0.827
270.75961685180664,-0.2705078125,0.75048828125,0.1306915283203125,0.808
270.7701168060303,-0.1994476318359375,0.72174072265625,0.084381103515625,0.754
270.7809488773346,-0.12225341796875,0.659637451171875,0.034820556640625,0.672
270.79329895973206,-0.0117950439453125,0.5895843505859375,-0.0220947265625,0.59
270.80013489723206,0.122314453125,0.5305023193359375,-0.00537109375,0.544
270.80946493148804,0.2129058837890625,0.500091552734375,-0.0646209716796875,0.547
270.8191947937012,0.333648681640625,0.4885406494140625,-0.0963287353515625,0.599
270.8289089202881,0.4453277587890625,0.4738006591796875,-0.1102752685546875,0.66
270.8400888442993,0.524993896484375,0.4483489990234375,-0.1397857666015625,0.704
270.8490810394287,0.581939697265625,0.4393768310546875,-0.1433563232421875,0.743
270.8593530654907,0.6331024169921875,0.4430694580078125,-0.106719970703125,0.78
270.86935806274414,0.646484375,0.480926513671875,-0.0323638916015625,0.806
270.8804829120636,0.536468505859375,0.5512847900390625,0.0218353271484375,0.77
270.8926157951355,0.2931671142578125,0.629974365234375,0.1407928466796875,0.709
270.8996548652649,-0.0676422119140625,0.694580078125,0.2729644775390625,0.749
270.9090738296509,-0.4611053466796875,0.76959228515625,0.38800048828125,0.977
270.9189119338989,-0.8859405517578125,0.8676300048828125,0.514892578125,1.343
270.928955078125,-1.39208984375,0.9629364013671875,0.700927734375,1.832
270.9397749900818,-1.86749267578125,1.0077972412109375,0.934906005859375,2.319
270.9484558105469,-2.1973876953125,0.9258575439453125,1.155029296875,2.649
270.95907402038574,-2.5658416748046875,0.592864990234375,1.3385162353515625,2.954
270.969181060791,-3.1312713623046875,0.1044158935546875,1.610260009765625,3.523
270.97957277297974,-3.56646728515625,-0.2870330810546875,1.9187164306640625,4.06
270.9911398887634,-3.6396636962890625,-0.606109619140625,1.8806304931640625,4.141
270.99964594841003,-3.1966705322265625,-0.71722412109375,1.61053466796875,3.651
271.00898790359497,-2.8646697998046875,-0.859619140625,1.447601318359375,3.323
271.01904106140137,-2.9365692138671875,-1.04583740234375,1.5824432373046875,3.496
271.0288209915161,-2.763702392578125,-1.166473388671875,1.53802490234375,3.371
271.0397090911865,-2.6334075927734375,-1.30865478515625,1.469573974609375,3.287
271.04861187934875,-2.5642242431640625,-1.299835205078125,1.335723876953125,3.17
271.0584099292755,-2.3834991455078125,-1.2564849853515625,1.0576934814453125,2.895
271.06831407546997,-2.2879638671875,-1.281463623046875,1.0413818359375,2.822
271.07918095588684,-2.1732940673828125,-1.3602294921875,0.900054931640625,2.717
271.0902819633484,-2.03082275390625,-1.480438232421875,0.6591949462890625,2.598
271.0989439487457,-1.76458740234375,-1.47418212890625,0.4836578369140625,2.35
271.1085410118103,-1.5611114501953125,-1.4209442138671875,0.3779449462890625,2.145
271.1182370185852,-1.4984283447265625,-1.480377197265625,0.272552490234375,2.124
271.1282868385315,-1.478973388671875,-1.552093505859375,0.1843414306640625,2.152
271.13912200927734,-1.401702880859375,-1.6148681640625,0.073577880859375,2.14
271.1477129459381,-1.3144378662109375,-1.6732330322265625,-0.0658416748046875,2.129
271.15794610977173,-1.12713623046875,-1.7216644287109375,-0.2641143798828125,2.075
271.16890382766724,-0.915283203125,-1.80419921875,-0.4832763671875,2.08
271.1791069507599,-0.707916259765625,-1.8793182373046875,-0.6793060302734375,2.12
271.19220876693726,-0.4835968017578125,-1.914581298828125,-0.828216552734375,2.141
271.1989049911499,-0.3298797607421875,-1.9446868896484375,-0.8533172607421875,2.149
271.208291053772,-0.27313232421875,-1.9464569091796875,-0.8371429443359375,2.136
271.2181398868561,-0.2378997802734375,-1.93170166015625,-0.7378997802734375,2.081
